ID,Projeto,Tipo,Situação,Título,Descrição,Últimas notas
114685,e-SUS Regulação,Demanda,Demanda - Entregue,MANUTENÇÃO EVOLUTIVA - GERAÇÃO DO BOLETIM DE PRODUÇÃO AMBULATORIAL (BPA) - FATURAMENTO AMBULATORIAL - ESUS REGULAÇÃO,"*Descrição:* 
Esta Ordem de Serviço tem como objetivo a implementação da funcionalidade de geração do Boletim de Produção Ambulatorial (BPA) no sistema e-SUS Regulação, seguindo as regras e parâmetros detalhados para garantir a conformidade com os requisitos de produção ambulatorial. O sistema deverá permitir a geração tanto do BPA Consolidado (BPA-C) quanto do BPA Individualizado (BPA-I), conforme as regras estabelecidas pelo SIASUS.

*Regras para Implementação:*
_*1. Parâmetros de Consulta dos Arquivos BPA:*_ 
   - O sistema deverá apresentar a competência selecionada para consulta sempre que for gerada por ao menos uma unidade.
   - Ao carregar a competência, o sistema automaticamente selecionará as unidades envolvidas, sem duplicidade no nome das unidades.

_*2. Geração do Arquivo BPA:*_
   - Considerar apenas solicitações com status de **agendamento confirmado** pelo executante e cuja data de execução esteja dentro da competência selecionada.
   - Solicitações cujos profissionais executantes não possuam CBO ou CNS informados serão excluídas do arquivo txt e listadas no relatório de erros em formato CSV.
   - O arquivo será gerado no formato texto, obedecendo ao layout definido para o BPA e SIASUS.
   - Informações de BPA-C e BPA-I serão geradas no mesmo arquivo, priorizando o BPA-I.
   - Os campos ""Tipo"" e ""Origem"" deverão seguir as diretrizes (""I"" para BPA-I, ""C"" para BPA-C, e ""ESR"" para a origem).
   - O campo de idade será calculado com base na data de nascimento do paciente e a data de execução do procedimento.
   - O BPA-C agregará informações por procedimento, caráter de atendimento e faixa etária, enquanto o BPA-I agregará informações por paciente e profissional executante.

_*3. Construção do Arquivo BPA:*_
   - O arquivo deverá respeitar o layout de interface de texto especificado para o BPA.
   - Poderá ser gerado múltiplas vezes para a mesma competência, com nomes distintos para evitar duplicidade.
   - O sistema permitirá a geração do BPA de até seis competências anteriores à competência atual, considerando a data de confirmação da solicitação.

_*4. Consulta e Armazenamento do BPA:*_
   - A consulta deverá exibir apenas registros com status de **agendamento confirmado pelo executante**.
   - O detalhamento do registro deverá conter informações de geração, como login do usuário, data e hora, tanto na tela quanto na impressão.
   - O sistema armazenará o arquivo BPA por até um ano, com status ""Temporário"" ou ""Confirmado"", dependendo da ação do operador de salvar o arquivo.

_*5. Limite e Geração de Arquivos BPA:*_
   - Limitar a geração de até 10 arquivos BPA para a mesma competência.
   - Disponibilizar relatório de erros no formato HTML para registros que não puderam ser processados por falta de CBO, CNS, ou caráter de atendimento.

_*6. Relatório de Erros e Reprocessamento:*_
   - O sistema deverá gerar um relatório de erros sempre que houver inconsistências na criação do BPA.
   - O relatório deverá detalhar os motivos pelos quais determinados registros não foram incluídos, permitindo a correção e a geração de uma nova versão do arquivo BPA.

*Justificativa:* 
Essa demanda faz parte do cronograma de evolução do e-SUS Regulação para permitir a geração do Boletim de Produção Ambulatorial (BPA) em conformidade com o SIASUS. A implementação desse recurso é crucial para o correto processamento dos dados de produção ambulatorial e para assegurar a prestação de contas dos serviços de saúde prestados, impactando diretamente na gestão de recursos e planejamento das ações de saúde pública.

",
114781,SubProj SIH,Demanda,Demanda - Entregue,Versão não obrigatória SIHD - 09/2024,"*Justificativa*
NUP: 25000.116544/2008-89 (Processo de Referência nº 0002012-48.2006.4.05.8100)
Determinações judiciais realizada na audiência ocorrida em 10 de setembro de 2024.
 *O Termo de Audiência determina:*
 *IV) Determino que o Ministério da Saúde:*
 [...]
2) a título de medida cautelar, em razão da condição atípica do HGF iniciar execução do cronograma com ocupação de 120% de seus leitos (com acomodação transitória de pacientes em locais que não cumprem os requisitos específicos de configuração de leitos, verificados por esta Magistrada na inspeção judicial), bem como estar em fase de entrega e habilitação de mais 45 leitos, *determino no que o Ministério da Saúde se abstenha de glosar as verbas relativas a repasse/pagamento de valores por motivo de ultrapassagem de capacidade instalada do HGF, pelo prazo de 120 dias, ou seja, até 31/01/2025* .

*Escopo*

Inativar a regra de capacidade instalada APENAS para o HGF-HOSPITAL GERAL DE FORTALEZA (código CNES 2497654) referente às produções apresentadas nas competências setembro/2024, outubro/2024, novembro/2024, dezembro/2024 e até janeiro/2025.

Obs.: Não importará a data de realização, internação ou alta. ",
113771,subproj Hemovida Web Coagulopatias,Demanda,Demanda - Entregue,GO - Liberação de acesso perfil gestor estadual (substituta),"
*Escopo:* A gestora estadual Mirian Amaral de Melo, saíra de fériase/ou atestado e solicitou a liberação de acesso da profissional farmacêutica Alessandra Roberta de Oliveira, CPF: 007570811-69, E-MAIL: alessandra.roberta@hotmail.com e TELEFONE: (62) 32317905, com o perfil de Gestora Estadual (substituta).

*Justificativa:* Liberar acesso para a profissional que irá substituir a Mirian.

*Objetivo:* Permitir que o trabalho executado pelo Gestor Estadual não seja interrompido.

*ATENÇÃO! Informações complementares em anexo.* 

NOTA:"" _Este atendimento possui dados sensíveis, dessa forma o artigo 26 da LGPD prevê que o uso compartilhado de dados pessoais pelo Poder Público deve atender a finalidades específicas de execução de políticas públicas e atribuição legal pelos órgãos e pelas entidades públicas, respeitados os princípios de proteção de dados pessoais elencados no art. 6º da Lei. Sendo assim utilizados para realização de suporte/manutenção, conforme orientação do serviço hemoterápico solicitante_ "".
",Solicitamos atendimento da demanda.
113770,subproj Hemovida Web Coagulopatias,Demanda,Demanda - Entregue,RS - Liberação de acesso perfil gestor estadual (substituta),"
*Escopo:* A gestora estadual Giovana Fecker da Costa Diaz, saíra de licença médica e solicitou a liberação de acesso da profissional ADRIANA CELIA LUZ, CPF: 61350729000, E-MAIL: adriana-luz@saude.rs.gov.br e TELEFONE: (51) 999638894, com o perfil de Gestora Estadual (substituta).
*
Justificativa:* Liberar acesso para a profissional que irá substituir a Giovana.

*Objetivo:* Permitir que o trabalho executado pelo Gestor Estadual não seja interrompido.

*ATENÇÃO! Informações complementares em anexo.*

*NOTA:* "" Este atendimento possui dados sensíveis, dessa forma o artigo 26 da LGPD prevê que o uso compartilhado de dados pessoais pelo Poder Público deve atender a finalidades específicas de execução de políticas públicas e atribuição legal pelos órgãos e pelas entidades públicas, respeitados os princípios de proteção de dados pessoais elencados no art. 6º da Lei. Sendo assim utilizados para realização de suporte/manutenção, conforme orientação do serviço hemoterápico solicitante "".",Solicitamos atendimento da demanda.
111089,subproj Hemovida Web Coagulopatias,Demanda,Demanda - Entregue,ATC - Solicitação de cadastro novo Gestor Federal,"*
Escopo:* Liberar a acesso para a nova profissional Taciana Ribeiro Silva Bessa - taciana.ribeiro@saude.gov.br, CPF: 900.641.276-72, Telefone: (61) 3315-9064, com o perfil Gestor Federal.

*Justisficativa:* Liberar acesso a nova profissional que irá compor a equipe da Assessoria Técnica de Coagulopatias ? ATC.

*Objetivo:* Permitir que a profissional execute suas atividades conforme perfil de acesso definido pela ATC.

*Nota:* "" _Este atendimento possui dados sensíveis, dessa forma o artigo 26 da LGPD prevê que o uso compartilhado de dados pessoais pelo Poder Público deve atender a finalidades específicas de execução de políticas públicas e atribuição legal pelos órgãos e pelas entidades públicas, respeitados os princípios de proteção de dados pessoais elencados no art. 6º da Lei. Sendo assim utilizados para realização de suporte/manutenção, conforme orientação do serviço hemoterápico solicitante_ "".
",Solicitamos atendimento da demanda.
114907,Subproj HORUS,Demanda,Demanda - Entregue,"Erro no status dos itens e da Distribuição, módulo Especializado UF: MT","A CAF de Mato Grosso (Estabelecimento de Saúde: CENTRO ESTADUAL DE ABASTECIMENTO E DISTRIBUIÇÃO DE INSUMOS DE SAÚDE DE MATO GROSSO (CEADIS), CNES  4069463) realizou as ?Distribuição sem requisição? abaixo, no entanto, o status da requisição e dos itens permanecem como Inicial, devendo ter sido alterado para Atendido. Os itens foram atendidos conforme consta nos relatórios de saída do estabelecimento atendente. O estabelecimento também confirmou que os produtos foram subtraídos do estoque, só não houve a alteração do status. 

Nº 26088148 - Estabelecimento de Saúde Destino: SMS DE APIACAS CEAF/CBAF/CESAF SES-MT
O item INSULINA ANÁLOGA DE AÇÃO RÁPIDA 100 UI/ML TUBETE COM SISTEMA a Quantidade Atendida deverá ser igual a 0. 
Os demais itens a Quantidade a Distribuir = Quantidade atendida.


Nº 26102702 - Estabelecimento de Saúde Destino: SMS DE ARAGUAIANA CEAF/CBAF/CESAF SES-MT
Os demais itens a Quantidade a Distribuir = Quantidade atendida.
",
114715,Subproj HORUS,Demanda,Demanda - Entregue,"Erro no status dos itens e da Distribuição, módulo Especializado UF: MT (4)","A CAF de Mato Grosso (Estabelecimento de Saúde: CENTRO ESTADUAL DE ABASTECIMENTO E DISTRIBUIÇÃO DE INSUMOS DE SAÚDE DE MATO GROSSO (CEADIS), CNES  4069463) realizou as ?Distribuição sem requisição? abaixo, no entanto, o status da requisição e dos itens permanecem como Inicial, devendo ter sido alterado para Atendido. Os itens foram atendidos conforme consta nos relatórios de saída do estabelecimento atendente. O estabelecimento também confirmou que os produtos foram subtraídos do estoque, só não houve a alteração do status. 

Nº 26166450 - Estabelecimento de Saúde Destino: SMS DE DENISE CEAF/CBAF/CESAF SES-MT
O item AMANTADINA 100 MG COMP GRUPO 1.B a Quantidade Atendida deverá ser igual a 0. 
Os demais itens a Quantidade a Distribuir = Quantidade atendida.


Nº 26085277 - Estabelecimento de Saúde Destino: SMS DE NOVA OLIMPIA CEAF/CBAF/CESAF SES-MT
O item INSULINA ANÁLOGA DE AÇÃO RÁPIDA 100 UI/ML TUBETE COM SISTEMA a Quantidade Atendida deverá ser igual a 0. 
Os demais itens a Quantidade a Distribuir = Quantidade atendida.
",
113939,subproj Hemovida Web Coagulopatias,Demanda,Demanda - Em atendimento,PE ? Paciente PB em transito infusão não é apresentada no relatório HEMOPE.,"

*Escopo:* O usuário Lucas Vas de Castro Oliveira (pefil Controlador Estoque Estadual), em 02/09/2024 fez um atendimento de um paciente em trânsito da Paraíba que precisou ser infundido no HEMOPE. (Figura 1)

Dia 02/09/2024: 60 frascos CONCENTRADO DE FATOR VIII RECOMBINANTE 500 UI (Lote: BE20E215AA ) - 30000 UI

Abaixo estão as figuras 2 e 3 e anexado na demanda também o arquivo gerado da infusão.

No relatório de Infusões do HEMOPE o sistema não está apresentando a infusão realizada no dia 02/09/2024 deste paciente.

*Justificativa:* O sistema deverá apresentar as informações da instituição do usuário logado (pefil Controlador Estoque Estadual).

*Objetivo:* Apresentar apenas as informações da instituição o qual o usuário pefil Controlador Estoque Estadual está vinculado.
*
ATENÇÃO! Evidências nos arquivos em anexo.*

*NOTA:* "" _Este atendimento possui dados sensíveis, dessa forma o artigo 26 da LGPD prevê que o uso compartilhado de dados pessoais pelo Poder Público deve atender a finalidades específicas de execução de políticas públicas e atribuição legal pelos órgãos e pelas entidades públicas, respeitados os princípios de proteção de dados pessoais elencados no art. 6º da Lei. Sendo assim utilizados para realização de suporte/manutenção, conforme orientação do serviço hemoterápico solicitante_ ""
",Solicitamos atendimento da demanda.
113706,subproj Hemovida Web Coagulopatias,Demanda,Demanda - Em atendimento,RJ - Paciente não é encontrado no sistema - consultar paciente,"
*Escopo:* Usuária Célia Akiko Leitão, instituição HEMORIO, não está conseguindo localizar o paciente Reydson Chagas Souza Silva, nascido em 15/12/1973, portador de Hemofilia A Grave, CNS 898.001.293.324.053, CPF 0532.603.271-33, código SHWC 2018758053. Residia no RJ, há um ano foi transferido para Manaus, hoje encontra-se internado no Hemorio necessitando utilizar fatores de coagulação.

Justificativa: Ajustar o sistema para os usuários possam trabalhar adequadamente.

Objetivo: Permitir que o profissional precisa realizar as consultas conforme estabelecido no sistema, para poder realizar o atendimento aos pacientes.

*Evidências no arquivo em anexo.*

NOTA: "" _Este atendimento possui dados sensíveis, dessa forma o artigo 26 da LGPD prevê que o uso compartilhado de dados pessoais pelo Poder Público deve atender a finalidades específicas de execução de políticas públicas e atribuição legal pelos órgãos e pelas entidades públicas, respeitados os princípios de proteção de dados pessoais elencados no art. 6º da Lei. Sendo assim utilizados para realização de suporte/manutenção, conforme orientação do serviço hemoterápico solicitante_ "".",Solicitamos atendimento da demanda.
113700,subproj Hemovida Web Coagulopatias,Demanda,Demanda - Em atendimento,SC ? Dados complementares ? campo DATA fora padrão,"
*Escopo:* A usuária Joana Sacheti Freitas Donadel, da instituição HEMOSC , não consegue alterar os Dados Complementares do Paciente, dados do mesmo no arquivo em anexo. Acredita que o sistema não permite, pois a data está fora do padrão - 01/03/20171.

*Justificativa:* É necessário a alteração da data para o usuário poder realizar novos registros.

*Objetivo:* O sistema não deveria permitir salvar data fora do padrão.

NOTA: "" _Este atendimento possui dados sensíveis, dessa forma o artigo 26 da LGPD prevê que o uso compartilhado de dados pessoais pelo Poder Público deve atender a finalidades específicas de execução de políticas públicas e atribuição legal pelos órgãos e pelas entidades públicas, respeitados os princípios de proteção de dados pessoais elencados no art. 6º da Lei. Sendo assim utilizados para realização de suporte/manutenção, conforme orientação do serviço hemoterápico solicitante_ "".",
